127.0.0.1 - - [08/Aug/2017:15:21:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:21:33 +0530] "GET /cars/ HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:21:34 +0530] "GET /cars/resources/images/users/fortuner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:21:34 +0530] "GET /cars/resources/images/users/skoda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:21:34 +0530] "GET /cars/resources/images/users/lambhorghini.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:21:34 +0530] "GET /cars/resources/images/products/p2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:21:34 +0530] "GET /cars/resources/images/products/p1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:21:34 +0530] "GET /cars/resources/images/products/p3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:52 +0530] "GET /cars/ HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:53 +0530] "GET /cars/resources/images/users/fortuner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:53 +0530] "GET /cars/resources/images/users/skoda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:53 +0530] "GET /cars/resources/images/users/lambhorghini.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:53 +0530] "GET /cars/resources/images/products/p1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:53 +0530] "GET /cars/resources/images/products/p2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:53 +0530] "GET /cars/resources/images/products/p3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
